key,en,fr,zh,ja,ko,zh_TW,ru,pl,es,pt,de,tr,it
CONFIRM_TRIM_HISTORY,"Current history has {1} items, setting limit to {2} will remove {3} old records. Continue?","L'historique actuel contient {1} éléments, définir la limite à {2} supprimera {3} anciens enregistrements. Continuer ?",当前历史有 {1} 条，设置上限 {2} 将删除 {3} 条旧记录。继续？,現在の履歴は {1} 件あります。上限を {2} に設定すると {3} 件の古い記録が削除されます。続行しますか？,"현재 기록은 {1}개이며, 제한을 {2}(으)로 설정하면 {3}개의 오래된 기록이 삭제됩니다. 계속하시겠습니까?",當前歷史有 {1} 條，設置上限 {2} 將刪除 {3} 條舊記錄。繼續？,"Текущая история содержит {1} записей, установка лимита {2} удалит {3} старых записей. Продолжить?","Bieżąca historia ma {1} pozycji, ustawienie limitu na {2} usunie {3} stare rekordy. Kontynuować?","El historial actual tiene {1} elementos, establecer el límite en {2} eliminará {3} registros antiguos. ¿Continuar?","O histórico atual tem {1} itens, definir o limite em {2} removerá {3} registros antigos. Continuar?","Aktueller Verlauf: {1} Einträge, Limit {2} entfernt {3} alte Einträge. Fortfahren?","Mevcut geçmişte {1} öğe var, limit {2} olarak ayarlanırsa {3} eski kayıt silinecek. Devam edilsin mi?","La cronologia attuale ha {1} elementi, impostare il limite a {2} rimuoverà {3} record vecchi. Continuare?"
UI_ALWAYS_TOP,Always Top,Toujours au premier plan,置顶,常に最前面,항상 위에 표시,置頂,Поверх всех окон,Zawsze na wierzchu,Siempre encima,Sempre no topo,Immer im Vordergrund,Her Zaman Üstte,Sempre in primo piano
UI_UNPINNED,Unpinned,Désépinglé,取消置顶,ピン留め解除,고정 해제,取消置頂,Откреплено,Odepnij,Desanclado,Desafixado,Losgelöst,Sabitleme Kaldırıldı,Sbloccato
HISTORY_MENU_NO_HISTORY,No manual copy history,No manual copy history,没有手动复制历史,No manual copy history,No manual copy history,No manual copy history,No manual copy history,No manual copy history,No manual copy history,No manual copy history,No manual copy history,No manual copy history,No manual copy history
HISTORY_MENU_VIEW_FULL,View full history ({1} items)...,Voir l'historique complet ({1} éléments)...,查看完整历史 ({1} 项)...,履歴をすべて表示 ({1} 件)...,전체 기록 보기 ({1} 개 항목)...,查看完整歷史 ({1} 項)...,Просмотреть всю историю ({1} элементов)...,Zobacz pełną historię ({1} elementów)...,Ver historial completo ({1} elementos)...,Ver histórico completo ({1} itens)...,Vollständigen Verlauf anzeigen ({1} Elemente)...,Tüm geçmişi görüntüle ({1} öge)...,Visualizza cronologia completa ({1} elementi)...
CONTEXT_PASTE_FILE,Paste as File,Coller comme fichier,粘贴为文件,ファイルとして貼り付け,파일로 붙여넣기,貼上為檔案,Вставить как файл,Wklej jako plik,Pegar como archivo,Colar como arquivo,Als Datei einfügen,Dosya Olarak Yapıştır,Incolla come file
CONTEXT_PREVIEW,Preview,Aperçu,预览,プレビュー,미리보기,預覽,Предпросмотр,Podgląd,Vista previa,Pré-visualização,Vorschau,Önizleme,Anteprima
CONTEXT_DELETE,Delete,Supprimer,删除,削除,삭제,刪除,Удалить,Usuń,Eliminar,Eliminar,Löschen,Sil,Elimina
GUI_PREVIEW_COPY,Copy,Copier,复制,コピー,복사,複製,Копировать,Kopiuj,Copiar,Copiar,Kopieren,Kopyala,Copia
GUI_PREVIEW_STATS,{1} lines  •  {2} characters,{1} lignes  •  {2} caractères,{1} 行  •  {2} 个字符,{1} 行  •  {2} 文字,{1}줄  •  {2}자,{1} 行  •  {2} 個字元,{1} строк  •  {2} символов,{1} linii  •  {2} znaków,{1} líneas  •  {2} caracteres,{1} linhas  •  {2} caracteres,{1} Zeilen  •  {2} Zeichen,{1} satır  •  {2} karakter,{1} righe  •  {2} caratteri
CONTEXT_COPY,Copy,Copier,复制,コピー,복사,複製,Копировать,Kopiuj,Copiar,Copiar,Kopieren,Kopyala,Copia
MSG_COPIED,Copied!,Copié !,已复制,コピーしました,복사됨,已複製,Скопировано!,Skopiowano!,¡Copiado!,Copiado!,Kopiert!,Kopyalandı!,Copiato!
MSG_TEMP_OPENED,Temp folder opened ({1} temp file(s)),Dossier temporaire ouvert ({1} fichier(s)),已打开临时文件夹（{1} 个临时文件）,一時フォルダを開きました（{1} 個の一時ファイル）,임시 폴더 열림 ({1}개 임시 파일),已開啟臨時文件夾（{1} 個臨時檔案）,Временная папка открыта ({1} файл(ов)),Folder tymczasowy otwarty ({1} plik(i)),Carpeta temporal abierta ({1} archivo(s)),Pasta temporária aberta ({1} arquivo(s)),Temporärer Ordner geöffnet ({1} Datei(en)),Geçici klasör açıldı ({1} dosya),Cartella temporanea aperta ({1} file)
MSG_TEMP_EMPTY,Temp folder is empty,Le dossier temporaire est vide,临时文件夹为空,一時フォルダは空です,임시 폴더가 비어 있습니다,臨時文件夾是空的,Временная папка пуста,Folder tymczasowy jest pusty,La carpeta temporal está vacía,A pasta temporária está vazia,Temporärer Ordner ist leer,Geçici klasör boş,La cartella temporanea è vuota
MSG_TEMP_OPEN_FAIL,Could not open the temp folder,Impossible d'ouvrir le dossier temporaire,无法打开临时文件夹,一時フォルダを開けませんでした,임시 폴더를 열 수 없습니다,無法開啟臨時文件夾,Не удалось открыть временную папку,Nie można otworzyć folderu tymczasowego,No se pudo abrir la carpeta temporal,Não foi possível abrir a pasta temporária,Temporärer Ordner konnte nicht geöffnet werden,Geçici klasör açılamadı,Impossibile aprire la cartella temporanea
MSG_PASTE_FALLBACK_TEXT,Target accepts text only — pasted as text,La cible n'accepte que du texte — collé comme texte,目标仅接受文本 — 已按文本粘贴,テキストのみ受け付けるため、テキストとして貼り付けました,대상은 텍스트만 받습니다 — 텍스트로 붙여넣었습니다,目標僅接受文字 — 已按文字貼上,Цель принимает только текст — вставлено как текст,Cel przyjmuje tylko tekst — wklejono jako tekst,El destino solo acepta texto — pegado como texto,O destino aceita apenas texto — colado como texto,Ziel akzeptiert nur Text — als Text eingefügt,Hedef yalnızca metin kabul ediyor — metin olarak yapıştırıldı,La destinazione accetta solo testo — incollato come testo
MSG_PASTE_AS_FILE,Pasted as temp file (.txt),Collé comme fichier temporaire (.txt),已作为临时文件粘贴 (.txt),一時ファイルとして貼り付けました (.txt),임시 파일로 붙여넣었습니다 (.txt),已作為臨時檔案貼上 (.txt),Вставлено как временный файл (.txt),Wklejono jako plik tymczasowy (.txt),Pegado como archivo temporal (.txt),Colado como arquivo temporário (.txt),Als temporäre Datei eingefügt (.txt),Geçici dosya olarak yapıştırıldı (.txt),Incollato come file temporaneo (.txt)
MSG_CHEAT_NO_ACTION,This shortcut is reference only,Ce raccourci est fourni à titre de référence,该快捷键仅供参考，无法直接执行,このショートカットは参照のみです,이 단축키는 참고용입니다,此快速鍵僅供參考,Этот ярлык приведён только для справки,Ten skrót jest tylko informacyjny,Este atajo es solo de referencia,Este atalho é apenas de referência,Dieses Kürzel dient nur als Referenz,Bu kısayol yalnızca referans içindir,Questa scorciatoia è solo di riferimento
MSG_CONFIRM,Please confirm,Veuillez confirmer,请确认,確認してください,확인해 주세요,請確認,Подтвердите,Potwierdź,Confirma,Confirme,Bitte bestätigen,Lütfen onaylayın,Conferma
MSG_PDF_IM_NO_OUTPUT,ImageMagick finished without creating the PDF output.,ImageMagick s'est terminé sans créer le fichier PDF.,ImageMagick 已结束，但未生成 PDF 输出文件。,ImageMagick は PDF を生成せずに終了しました。,ImageMagick가 PDF 출력을 만들지 않고 종료되었습니다.,ImageMagick 已結束，但未產生 PDF 輸出檔案。,"ImageMagick завершил работу, не создав PDF.",ImageMagick zakończył działanie bez utworzenia pliku PDF.,ImageMagick terminó sin crear el archivo PDF.,O ImageMagick terminou sem criar o arquivo PDF.,"ImageMagick wurde beendet, ohne die PDF-Ausgabe zu erstellen.","ImageMagick, PDF çıktısı oluşturmadan tamamlandı.",ImageMagick è terminato senza creare il PDF.
MSG_PDF_IM_EMPTY_OUTPUT,ImageMagick created an empty PDF output.,ImageMagick a créé un fichier PDF vide.,ImageMagick 生成的 PDF 文件为空。,ImageMagick は空の PDF を作成しました。,ImageMagick가 빈 PDF를 만들었습니다.,ImageMagick 產生的 PDF 檔案是空的。,ImageMagick создал пустой PDF.,ImageMagick utworzył pusty plik PDF.,ImageMagick creó un PDF vacío.,O ImageMagick criou um PDF vazio.,ImageMagick hat eine leere PDF-Ausgabe erstellt.,ImageMagick boş bir PDF oluşturdu.,ImageMagick ha creato un PDF vuoto.
MSG_IMAGEMAGICK_FAILED,ImageMagick could not create the PDF. Check the selected executable and its PDF support.,ImageMagick n'a pas pu créer le PDF. Vérifiez l'exécutable sélectionné et sa prise en charge du PDF.,ImageMagick 无法创建 PDF。请检查所选的可执行文件及其 PDF 支持。,ImageMagick で PDF を作成できませんでした。選択した実行ファイルと PDF のサポート状況を確認してください。,ImageMagick가 PDF를 만들지 못했습니다. 선택한 실행 파일과 PDF 지원 여부를 확인하세요.,ImageMagick 無法建立 PDF。請檢查所選的可執行檔及其 PDF 支援。,ImageMagick не смог создать PDF. Проверьте выбранный исполняемый файл и его поддержку PDF.,ImageMagick nie mógł utworzyć pliku PDF. Sprawdź wybrany plik wykonywalny i jego obsługę PDF.,ImageMagick no pudo crear el PDF. Compruebe el ejecutable seleccionado y su compatibilidad con PDF.,O ImageMagick não conseguiu criar o PDF. Verifique o executável selecionado e o suporte a PDF.,ImageMagick konnte das PDF nicht erstellen. Prüfen Sie die ausgewählte ausführbare Datei und ihre PDF-Unterstützung.,ImageMagick PDF oluşturamadı. Seçilen yürütülebilir dosyayı ve PDF desteğini kontrol edin.,ImageMagick non è riuscito a creare il PDF. Controlla l'eseguibile selezionato e il supporto PDF.
MSG_IMAGEMAGICK_FAILED_DETAIL,ImageMagick could not create the PDF.\n\n{1}\n\nCheck the ImageMagick installation and PDF security policy.,ImageMagick n'a pas pu créer le PDF.\n\n{1}\n\nVérifiez l'installation d'ImageMagick et sa politique de sécurité PDF.,ImageMagick 无法创建 PDF。\n\n{1}\n\n请检查 ImageMagick 的安装与 PDF 安全策略。,ImageMagick で PDF を作成できませんでした。\n\n{1}\n\nImageMagick のインストールと PDF セキュリティポリシーを確認してください。,ImageMagick가 PDF를 만들지 못했습니다.\n\n{1}\n\nImageMagick 설치와 PDF 보안 정책을 확인하세요.,ImageMagick 無法建立 PDF。\n\n{1}\n\n請檢查 ImageMagick 的安裝與 PDF 安全性原則。,ImageMagick не смог создать PDF.\n\n{1}\n\nПроверьте установку ImageMagick и политику безопасности PDF.,ImageMagick nie mógł utworzyć pliku PDF.\n\n{1}\n\nSprawdź instalację ImageMagick i politykę bezpieczeństwa PDF.,ImageMagick no pudo crear el PDF.\n\n{1}\n\nCompruebe la instalación de ImageMagick y su política de seguridad de PDF.,O ImageMagick não conseguiu criar o PDF.\n\n{1}\n\nVerifique a instalação do ImageMagick e a política de segurança de PDF.,ImageMagick konnte das PDF nicht erstellen.\n\n{1}\n\nPrüfen Sie die ImageMagick-Installation und die PDF-Sicherheitsrichtlinie.,ImageMagick PDF oluşturamadı.\n\n{1}\n\nImageMagick kurulumunu ve PDF güvenlik politikasını kontrol edin.,ImageMagick non è riuscito a creare il PDF.\n\n{1}\n\nControlla l'installazione di ImageMagick e i criteri di sicurezza PDF.
MSG_NO_FILES_FOUND,"No valid files or folders found in clipboard. Copy file paths, then press CapsLock+P.","Aucun fichier ou dossier valide dans le presse-papiers. Copiez des chemins de fichiers, puis appuyez sur CapsLock+P.",剪贴板中没有有效的文件或文件夹。请先复制文件路径，然后按 CapsLock+P。,クリップボードに有効なファイルやフォルダーが見つかりません。ファイルのパスをコピーしてから CapsLock+P を押してください。,클립보드에 유효한 파일이나 폴더가 없습니다. 파일 경로를 복사한 뒤 CapsLock+P를 누르세요.,剪貼簿中沒有有效的檔案或資料夾。請先複製檔案路徑，然後按下 CapsLock+P。,"В буфере обмена нет допустимых файлов или папок. Скопируйте пути к файлам, затем нажмите CapsLock+P.","W schowku nie znaleziono prawidłowych plików ani folderów. Skopiuj ścieżki plików, a następnie naciśnij CapsLock+P.",No se encontraron archivos ni carpetas válidos en el portapapeles. Copie rutas de archivos y pulse CapsLock+P.,Nenhum arquivo ou pasta válido encontrado na área de transferência. Copie os caminhos dos arquivos e pressione CapsLock+P.,In der Zwischenablage wurden keine gültigen Dateien oder Ordner gefunden. Kopieren Sie Dateipfade und drücken Sie dann CapsLock+P.,Panoda geçerli dosya veya klasör bulunamadı. Dosya yollarını kopyalayıp CapsLock+P tuşlarına basın.,"Nessun file o cartella valido negli appunti. Copia i percorsi dei file, quindi premi CapsLock+P."
MSG_PANDOC_FAILED_FILES,Pandoc could not convert:\n{1}\n\nCheck that the selected output format supports this input type.,Pandoc n'a pas pu convertir :\n{1}\n\nVérifiez que le format de sortie sélectionné prend en charge ce type d'entrée.,Pandoc 无法转换：\n{1}\n\n请确认所选的输出格式支持该输入类型。,Pandoc で変換できませんでした：\n{1}\n\n選択した出力形式がこの入力形式に対応しているか確認してください。,Pandoc이 변환하지 못했습니다:\n{1}\n\n선택한 출력 형식이 이 입력 형식을 지원하는지 확인하세요.,Pandoc 無法轉換：\n{1}\n\n請確認所選的輸出格式支援此輸入類型。,"Pandoc не смог преобразовать:\n{1}\n\nПроверьте, поддерживает ли выбранный формат вывода этот тип входных данных.","Pandoc nie mógł przekonwertować:\n{1}\n\nSprawdź, czy wybrany format wyjściowy obsługuje ten typ danych wejściowych.",Pandoc no pudo convertir:\n{1}\n\nCompruebe que el formato de salida seleccionado admite este tipo de entrada.,O Pandoc não conseguiu converter:\n{1}\n\nVerifique se o formato de saída selecionado suporta este tipo de entrada.,"Pandoc konnte nicht konvertieren:\n{1}\n\nPrüfen Sie, ob das gewählte Ausgabeformat diesen Eingabetyp unterstützt.",Pandoc dönüştüremedi:\n{1}\n\nSeçilen çıktı biçiminin bu girdi türünü desteklediğinden emin olun.,Pandoc non è riuscito a convertire:\n{1}\n\nControlla che il formato di output selezionato supporti questo tipo di input.
CHEAT_TITLE,Hotkey Reference,Référence des raccourcis,快捷键速查表,ショートカット一覧,단축키 참조,快速鍵速查表,Справочник горячих клавиш,Skróty klawiszowe,Referencia de atajos,Referência de atalhos,Tastenkürzel-Referenz,Kısayol Başvurusu,Riferimento scorciatoie
CHEAT_HINT,Search or double-click a row to run it · Esc or CapsLock + H closes,Recherchez ou double-cliquez une ligne pour l'exécuter · Échap ou CapsLock + H ferme,可搜索，双击某一行可执行该动作 · Esc 或 CapsLock + H 关闭,検索、または行をダブルクリックで実行 · Esc または CapsLock + H で閉じる,검색하거나 행을 두 번 클릭하여 실행 · Esc 또는 CapsLock + H로 닫기,可搜尋，雙擊某一列可執行該動作 · Esc 或 CapsLock + H 關閉,Поиск или двойной клик для запуска · Esc или CapsLock + H закрывает,"Szukaj lub kliknij dwukrotnie, aby uruchomić · Esc lub CapsLock + H zamyka",Busca o haz doble clic en una fila para ejecutarla · Esc o CapsLock + H cierra,Pesquise ou dê duplo clique numa linha para executar · Esc ou CapsLock + H fecha,Suchen oder Zeile doppelklicken zum Ausführen · Esc oder CapsLock + H schließt,Arayın veya çalıştırmak için bir satıra çift tıklayın · Esc veya CapsLock + H kapatır,Cerca o fai doppio clic su una riga per eseguirla · Esc o CapsLock + H chiude
CHEAT_COL_CATEGORY,Category,Catégorie,分类,カテゴリ,분류,分類,Категория,Kategoria,Categoría,Categoria,Kategorie,Kategori,Categoria
CHEAT_COL_SHORTCUT,Shortcut,Raccourci,快捷键,ショートカット,단축키,快速鍵,Горячая клавиша,Skrót,Atajo,Atalho,Tastenkürzel,Kısayol,Scorciatoia
CHEAT_COL_ACTION,Action,Action,动作,操作,동작,動作,Действие,Działanie,Acción,Ação,Aktion,Eylem,Azione
CHEAT_STATUS,Showing {1} of {2} shortcuts,{1} raccourcis sur {2} affichés,显示 {1} / {2} 条快捷键,{1} / {2} 件のショートカットを表示,{1} / {2}개 단축키 표시 중,顯示 {1} / {2} 個快速鍵,Показано {1} из {2} сочетаний,Wyświetlono {1} z {2} skrótów,Mostrando {1} de {2} atajos,Mostrando {1} de {2} atalhos,{1} von {2} Kürzeln angezeigt,{1} / {2} kısayol gösteriliyor,Visualizzati {1} di {2} scorciatoie
CHEAT_CAT_NATIVE,Native key,Touche native,原生按键,ネイティブキー,기본 키,原生按鍵,Нативная клавиша,Klawisz natywny,Tecla nativa,Tecla nativa,Native Taste,Yerel tuş,Tasto nativo
CHEAT_CAT_NAV,Navigation,Navigation,光标移动,移動,이동,游標移動,Навигация,Nawigacja,Navegación,Navegação,Navigation,Gezinti,Navigazione
CHEAT_CAT_SELECTION,Selection,Sélection,选择,選択,선택,選取,Выделение,Zaznaczanie,Selección,Seleção,Auswahl,Seçim,Selezione
CHEAT_CAT_EDIT,Editing,Édition,编辑,編集,편집,編輯,Редактирование,Edycja,Edición,Edição,Bearbeiten,Düzenleme,Modifica
CHEAT_CAT_CLIPBOARD,Clipboard,Presse-papiers,剪贴板,クリップボード,클립보드,剪貼簿,Буфер обмена,Schowek,Portapapeles,Área de transferência,Zwischenablage,Pano,Appunti
CHEAT_CAT_DOCUMENTS,Documents,Documents,文档,ドキュメント,문서,文件,Документы,Dokumenty,Documentos,Documentos,Dokumente,Belgeler,Documenti
CHEAT_CAT_FILES,Files,Fichiers,文件,ファイル,파일,檔案,Файлы,Pliki,Archivos,Arquivos,Dateien,Dosyalar,File
CHEAT_CAT_WINDOW,Window,Fenêtre,窗口,ウィンドウ,창,視窗,Окно,Okno,Ventana,Janela,Fenster,Pencere,Finestra
CHEAT_CAT_TABS,Tabs,Onglets,标签页,タブ,탭,分頁,Вкладки,Karty,Pestañas,Abas,Tabs,Sekmeler,Schede
CHEAT_CAT_HELP,Help,Aide,帮助,ヘルプ,도움말,說明,Справка,Pomoc,Ayuda,Ajuda,Hilfe,Yardım,Aiuto
CHEAT_ACT_CAPS_TOGGLE,Toggle native CapsLock on / off,Activer / désactiver le CapsLock natif,切换原生 CapsLock 开关,ネイティブの CapsLock をオン / オフ,기본 CapsLock 켜기 / 끄기,切換原生 CapsLock 開關,Включить / выключить обычный CapsLock,Włącz / wyłącz natywny CapsLock,Activar / desactivar el CapsLock nativo,Ativar / desativar o CapsLock nativo,Nativen CapsLock ein- / ausschalten,Yerel CapsLock'u aç / kapat,Attiva / disattiva il CapsLock nativo
CHEAT_ACT_SEL_WORD,Extend the selection by word,Étendre la sélection d'un mot,按词扩展选择,選択範囲を単語単位で拡張,선택 영역을 단어 단위로 확장,按詞擴充選取,Расширить выделение по словам,Rozszerz zaznaczenie o słowo,Ampliar la selección por palabras,Ampliar a seleção por palavra,Auswahl wortweise erweitern,Seçimi kelime kelime genişlet,Estendi la selezione per parola
CHEAT_ACT_SEL_LINE,Extend the selection to line start / end,Étendre la sélection jusqu'au début / à la fin de la ligne,扩展到行首 / 行尾,選択範囲を行頭 / 行末まで拡張,선택 영역을 줄 시작 / 끝까지 확장,擴充到行首 / 行尾,Расширить выделение до начала / конца строки,Rozszerz zaznaczenie do początku / końca linii,Ampliar la selección hasta el inicio / final de la línea,Ampliar a seleção até o início / fim da linha,Auswahl bis Zeilenanfang / -ende erweitern,Seçimi satır başına / sonuna kadar genişlet,Estendi la selezione fino a inizio / fine riga
CHEAT_ACT_SEL_CURRENT,Select the word under the caret,Sélectionner le mot sous le curseur,选中光标所在单词,カーソル位置の単語を選択,커서 위치의 단어 선택,選取游標所在單字,Выделить слово под курсором,Zaznacz słowo pod kursorem,Seleccionar la palabra bajo el cursor,Selecionar a palavra sob o cursor,Wort unter dem Cursor auswählen,İmlecin altındaki kelimeyi seç,Seleziona la parola sotto il cursore
CHEAT_ACT_DEL_CHAR,Delete one character backward / forward,Supprimer un caractère avant / après,删除前 / 后一个字符,前 / 後の 1 文字を削除,앞 / 뒤의 한 글자 삭제,刪除前 / 後一個字元,Удалить один символ назад / вперёд,Usuń jeden znak wstecz / w przód,Eliminar un carácter hacia atrás / adelante,Excluir um caractere atrás / à frente,Ein Zeichen rückwärts / vorwärts löschen,Bir karakteri geri / ileri sil,Elimina un carattere indietro / avanti
CHEAT_ACT_DEL_WORD,Delete one word backward / forward,Supprimer un mot avant / après,删除前 / 后一个词,前 / 後の 1 単語を削除,앞 / 뒤의 한 단어 삭제,刪除前 / 後一個詞,Удалить одно слово назад / вперёд,Usuń jedno słowo wstecz / w przód,Eliminar una palabra hacia atrás / adelante,Excluir uma palavra atrás / à frente,Ein Wort rückwärts / vorwärts löschen,Bir kelimeyi geri / ileri sil,Elimina una parola indietro / avanti
CHEAT_ACT_DEL_LINE,Delete the current line,Supprimer la ligne actuelle,删除当前整行,現在の行を削除,현재 줄 삭제,刪除目前整行,Удалить текущую строку,Usuń bieżącą linię,Eliminar la línea actual,Excluir a linha atual,Aktuelle Zeile löschen,Geçerli satırı sil,Elimina la riga corrente
CHEAT_ACT_COPY_PLAIN,Copy as plain text and add to history,Copier en texte brut et ajouter à l'historique,复制为纯文本并写入历史,プレーンテキストとしてコピーし履歴に追加,일반 텍스트로 복사하고 기록에 추가,複製為純文字並寫入歷史,Копировать как простой текст и добавить в историю,Kopiuj jako zwykły tekst i dodaj do historii,Copiar como texto plano y añadir al historial,Copiar como texto simples e adicionar ao histórico,Als Klartext kopieren und zum Verlauf hinzufügen,Düz metin olarak kopyala ve geçmişe ekle,Copia come testo normale e aggiungi alla cronologia
CHEAT_ACT_PASTE,Paste using the current paste mode,Coller selon le mode de collage actuel,按当前粘贴模式粘贴,現在の貼り付けモードで貼り付け,현재 붙여넣기 모드로 붙여넣기,按目前貼上模式貼上,Вставить в текущем режиме вставки,Wklej w bieżącym trybie wklejania,Pegar usando el modo de pegado actual,Colar usando o modo de colagem atual,Im aktuellen Einfügemodus einfügen,Geçerli yapıştırma moduyla yapıştır,Incolla usando la modalità di incolla corrente
CHEAT_ACT_HISTORY,Open the clipboard history,Ouvrir l'historique du presse-papiers,打开剪贴板历史,クリップボード履歴を開く,클립보드 기록 열기,開啟剪貼簿歷史,Открыть историю буфера обмена,Otwórz historię schowka,Abrir el historial del portapapeles,Abrir o histórico da área de transferência,Zwischenablage-Verlauf öffnen,Pano geçmişini aç,Apri la cronologia degli appunti
CHEAT_ACT_CASE,Change the case of the last copy and paste,Changer la casse du dernier texte copié et le coller,转换最近复制文本的大小写并粘贴,最後にコピーしたテキストの大文字 / 小文字を変換して貼り付け,마지막 복사 텍스트의 대소문자 변환 후 붙여넣기,轉換最近複製文字的大小寫並貼上,Изменить регистр последнего скопированного текста и вставить,Zmień wielkość liter ostatniej kopii i wklej,Cambiar el caso del último texto copiado y pegarlo,Alterar a caixa do último texto copiado e colar,Groß-/Kleinschreibung der letzten Kopie ändern und einfügen,Son kopyalanan metnin harf durumunu değiştir ve yapıştır,Cambia le maiuscole dell'ultimo testo copiato e incolla
CHEAT_ACT_PANDOC,Convert clipboard file paths with Pandoc,Convertir les chemins de fichiers du presse-papiers avec Pandoc,用 Pandoc 转换剪贴板中的文件路径,クリップボードのファイルパスを Pandoc で変換,클립보드의 파일 경로를 Pandoc으로 변환,用 Pandoc 轉換剪貼簿中的檔案路徑,Преобразовать пути файлов из буфера обмена с помощью Pandoc,Konwertuj ścieżki plików ze schowka przez Pandoc,Convertir rutas de archivos del portapapeles con Pandoc,Converter caminhos de arquivo da área de transferência com o Pandoc,Dateipfade aus der Zwischenablage mit Pandoc konvertieren,Panodaki dosya yollarını Pandoc ile dönüştür,Converti i percorsi file negli appunti con Pandoc
CHEAT_ACT_TEMP,Open the temp folder used by file paste,Ouvrir le dossier temporaire utilisé par le collage de fichiers,打开临时文件夹（文件粘贴生成的临时文件）,ファイル貼り付け用の一時フォルダーを開く,파일 붙여넣기에 사용되는 임시 폴더 열기,開啟臨時文件夾（檔案貼上產生的臨時檔案）,"Открыть временную папку, используемую при вставке файлов",Otwórz folder tymczasowy używany przy wklejaniu plików,Abrir la carpeta temporal usada al pegar archivos,Abrir a pasta temporária usada na colagem de arquivos,Temporären Ordner der Datei-Einfügung öffnen,Dosya yapıştırmada kullanılan geçici klasörü aç,Apri la cartella temporanea usata per incollare file
CHEAT_ACT_TOPMOST,Toggle always-on-top with OSD feedback,Basculer « toujours au premier plan » avec retour OSD,切换窗口置顶并提示,常に最前面表示を切り替え（OSD 表示あり）,항상 위에 표시 전환 (OSD 알림),切換視窗置頂並提示,Переключить режим «поверх всех окон» с OSD-подсказкой,Przełącz «zawsze na wierzchu» z powiadomieniem OSD,Alternar «siempre encima» con aviso OSD,Alternar «sempre no topo» com aviso OSD,«Immer im Vordergrund» mit OSD-Rückmeldung umschalten,OSD geri bildirimi ile «her zaman üstte» modunu aç / kapat,Attiva / disattiva «sempre in primo piano» con feedback OSD
CHEAT_ACT_MAXIMIZE,Maximize / restore the active window,Maximiser / restaurer la fenêtre active,最大化 / 还原活动窗口,アクティブウィンドウを最大化 / 元のサイズに戻す,활성 창 최대화 / 원래 크기로 복원,最大化 / 還原使用中視窗,Развернуть / восстановить активное окно,Maksymalizuj / przywróć aktywne okno,Maximizar / restaurar la ventana activa,Maximizar / restaurar a janela ativa,Aktives Fenster maximieren / wiederherstellen,Etkin pencereyi büyüt / geri yükle,Massimizza / ripristina la finestra attiva
CHEAT_ACT_MINIMIZE,Minimize the active window,Réduire la fenêtre active,最小化活动窗口,アクティブウィンドウを最小化,활성 창 최소화,最小化使用中視窗,Свернуть активное окно,Zminimalizuj aktywne okno,Minimizar la ventana activa,Minimizar a janela ativa,Aktives Fenster minimieren,Etkin pencereyi küçült,Minimizza la finestra attiva
CHEAT_ACT_OPACITY,Increase / decrease active-window opacity,Augmenter / diminuer l'opacité de la fenêtre active,提高 / 降低活动窗口不透明度,アクティブウィンドウの不透明度を上げる / 下げる,활성 창의 불투명도 높이기 / 낮추기,提高 / 降低使用中視窗不透明度,Увеличить / уменьшить непрозрачность активного окна,Zwiększ / zmniejsz nieprzezroczystość aktywnego okna,Aumentar / reducir la opacidad de la ventana activa,Aumentar / reduzir a opacidade da janela ativa,Deckkraft des aktiven Fensters erhöhen / verringern,Etkin pencerenin opaklığını artır / azalt,Aumenta / riduci l'opacità della finestra attiva
CHEAT_ACT_GHOST,Toggle 10% / 100% ghost mode,Basculer le mode fantôme 10 % / 100 %,在 10% / 100% 透明度间切换（幽灵模式）,ゴーストモード（10% / 100%）を切り替え,고스트 모드 10% / 100% 전환,在 10% / 100% 不透明度間切換（幽靈模式）,Переключить призрачный режим 10 % / 100 %,Przełącz tryb widma 10% / 100%,Alternar el modo fantasma 10 % / 100 %,Alternar o modo fantasma 10% / 100%,Geistermodus 10 % / 100 % umschalten,Hayalet modunu %10 / %100 olarak değiştir,Attiva / disattiva la modalità fantasma 10% / 100%
CHEAT_ACT_TAB_PREV_NEXT,Previous / next browser tab,Onglet précédent / suivant du navigateur,上一个 / 下一个浏览器标签页,ブラウザーの前 / 次のタブ,브라우저의 이전 / 다음 탭,上一個 / 下一個瀏覽器分頁,Предыдущая / следующая вкладка браузера,Poprzednia / następna karta przeglądarki,Pestaña anterior / siguiente del navegador,Aba anterior / próxima do navegador,Vorheriger / nächster Browser-Tab,Önceki / sonraki tarayıcı sekmesi,Scheda precedente / successiva del browser
CHEAT_ACT_CHEATSHEET,Show this hotkey reference,Afficher cette référence des raccourcis,显示本快捷键速查表,このショートカット一覧を表示,이 단축키 참조 표시,顯示本快速鍵速查表,Показать этот справочник горячих клавиш,Pokaż tę listę skrótów,Mostrar esta referencia de atajos,Mostrar esta referência de atalhos,Diese Tastenkürzel-Referenz anzeigen,Bu kısayol başvurusunu göster,Mostra questo riferimento scorciatoie
GUI_FULL_STATUS,Ready,Prêt,就绪,準備完了,준비 완료,就緒,Готово,Gotowy,Listo,Pronto,Bereit,Hazır,Pronto
